age_BP,T_anomaly,Code,Location,Reference,Proxy_type
281.07,0.41,8,Lailias,Kaufmanetal2020,Pollen
340.1,0.34,8,Lailias,Kaufmanetal2020,Pollen
404.97,0.21,8,Lailias,Kaufmanetal2020,Pollen
477.25,3.51,8,Lailias,Kaufmanetal2020,Pollen
558.45,5.9,8,Lailias,Kaufmanetal2020,Pollen
650.13,5.95,8,Lailias,Kaufmanetal2020,Pollen
753.82,3.94,8,Lailias,Kaufmanetal2020,Pollen
871.06,7.49,8,Lailias,Kaufmanetal2020,Pollen
1002.59,4.85,8,Lailias,Kaufmanetal2020,Pollen
1146.41,4.25,8,Lailias,Kaufmanetal2020,Pollen
1299.92,2.38,8,Lailias,Kaufmanetal2020,Pollen
1460.54,3.93,8,Lailias,Kaufmanetal2020,Pollen
1625.67,3.97,8,Lailias,Kaufmanetal2020,Pollen
1792.73,5.4,8,Lailias,Kaufmanetal2020,Pollen
1959.96,2.26,8,Lailias,Kaufmanetal2020,Pollen
2127.2,2.67,8,Lailias,Kaufmanetal2020,Pollen
2294.43,5.24,8,Lailias,Kaufmanetal2020,Pollen
2461.66,4.74,8,Lailias,Kaufmanetal2020,Pollen
2628.89,5.09,8,Lailias,Kaufmanetal2020,Pollen
2796.12,6.47,8,Lailias,Kaufmanetal2020,Pollen
2963.36,3.53,8,Lailias,Kaufmanetal2020,Pollen
-1.79,0,9,Kupena,Kaufmanetal2020,Pollen
1128.66,-0.03,9,Kupena,Kaufmanetal2020,Pollen
2259.1,4.16,9,Kupena,Kaufmanetal2020,Pollen
2978.88,5.03,9,Kupena,Kaufmanetal2020,Pollen
3698.67,5.43,9,Kupena,Kaufmanetal2020,Pollen
4418.45,3.54,9,Kupena,Kaufmanetal2020,Pollen
5138.23,4.45,9,Kupena,Kaufmanetal2020,Pollen
5858.01,4.28,9,Kupena,Kaufmanetal2020,Pollen
6913.54,4.52,9,Kupena,Kaufmanetal2020,Pollen
7969.07,6.44,9,Kupena,Kaufmanetal2020,Pollen
9024.59,7.85,9,Kupena,Kaufmanetal2020,Pollen
9595.99,6.62,9,Kupena,Kaufmanetal2020,Pollen
700,-0.5,10,Documentary,Teleis2005,AirTemp
800,-0.5,10,Documentary,Teleis2005,AirTemp
900,-0.5,10,Documentary,Teleis2005,AirTemp
1300,-0.5,10,Documentary,Teleis2005,AirTemp
30,0,11,GEDI97,Herzschuhetal22,Pollen
200,0.3,11,GEDI97,Herzschuhetal22,Pollen
330,-0.9,11,GEDI97,Herzschuhetal22,Pollen
480,-0.1,11,GEDI97,Herzschuhetal22,Pollen
640,-0.6,11,GEDI97,Herzschuhetal22,Pollen
790,-0.8,11,GEDI97,Herzschuhetal22,Pollen
920,-1.3,11,GEDI97,Herzschuhetal22,Pollen
1100,-0.6,11,GEDI97,Herzschuhetal22,Pollen
1290,-0.2,11,GEDI97,Herzschuhetal22,Pollen
1430,0.4,11,GEDI97,Herzschuhetal22,Pollen
1530,-0.1,11,GEDI97,Herzschuhetal22,Pollen
1690,0.2,11,GEDI97,Herzschuhetal22,Pollen
1900,-0.1,11,GEDI97,Herzschuhetal22,Pollen
2050,-0.5,11,GEDI97,Herzschuhetal22,Pollen
2170,-0.4,11,GEDI97,Herzschuhetal22,Pollen
2280,1.8,11,GEDI97,Herzschuhetal22,Pollen
2450,0.8,11,GEDI97,Herzschuhetal22,Pollen
2930,0.8,11,GEDI97,Herzschuhetal22,Pollen
3180,1.8,11,GEDI97,Herzschuhetal22,Pollen
3300,0,11,GEDI97,Herzschuhetal22,Pollen
3400,-0.1,11,GEDI97,Herzschuhetal22,Pollen
3490,0.6,11,GEDI97,Herzschuhetal22,Pollen
3570,0.3,11,GEDI97,Herzschuhetal22,Pollen
3650,3,11,GEDI97,Herzschuhetal22,Pollen
3770,1.7,11,GEDI97,Herzschuhetal22,Pollen
3930,-0.8,11,GEDI97,Herzschuhetal22,Pollen
4100,-0.6,11,GEDI97,Herzschuhetal22,Pollen
4300,0.9,11,GEDI97,Herzschuhetal22,Pollen
4590,-0.2,11,GEDI97,Herzschuhetal22,Pollen
4700,0.8,11,GEDI97,Herzschuhetal22,Pollen
4820,0.3,11,GEDI97,Herzschuhetal22,Pollen
4990,0.3,11,GEDI97,Herzschuhetal22,Pollen
5220,0.8,11,GEDI97,Herzschuhetal22,Pollen
5430,-0.7,11,GEDI97,Herzschuhetal22,Pollen
5650,0.5,11,GEDI97,Herzschuhetal22,Pollen
5810,0.4,11,GEDI97,Herzschuhetal22,Pollen
5940,-0.8,11,GEDI97,Herzschuhetal22,Pollen
6080,0.1,11,GEDI97,Herzschuhetal22,Pollen
6200,0.2,11,GEDI97,Herzschuhetal22,Pollen
6320,0,11,GEDI97,Herzschuhetal22,Pollen
6450,-0.5,11,GEDI97,Herzschuhetal22,Pollen
6570,-0.8,11,GEDI97,Herzschuhetal22,Pollen
6690,0.7,11,GEDI97,Herzschuhetal22,Pollen
6800,-1.5,11,GEDI97,Herzschuhetal22,Pollen
6910,-1.1,11,GEDI97,Herzschuhetal22,Pollen
7020,0.3,11,GEDI97,Herzschuhetal22,Pollen
7130,0.3,11,GEDI97,Herzschuhetal22,Pollen
8030,-0.6,11,GEDI97,Herzschuhetal22,Pollen
8150,0.7,11,GEDI97,Herzschuhetal22,Pollen
8250,-0.1,11,GEDI97,Herzschuhetal22,Pollen
8310,-0.6,11,GEDI97,Herzschuhetal22,Pollen
8390,-0.6,11,GEDI97,Herzschuhetal22,Pollen
8470,-0.6,11,GEDI97,Herzschuhetal22,Pollen
8560,0.3,11,GEDI97,Herzschuhetal22,Pollen
8650,-0.5,11,GEDI97,Herzschuhetal22,Pollen
8810,-0.6,11,GEDI97,Herzschuhetal22,Pollen
8980,-0.8,11,GEDI97,Herzschuhetal22,Pollen
9170,-0.8,11,GEDI97,Herzschuhetal22,Pollen
-40,0.55,12,DS7,Herzschuhetal22,Pollen
50,-0.55,12,DS7,Herzschuhetal22,Pollen
160,-0.15,12,DS7,Herzschuhetal22,Pollen
210,0.65,12,DS7,Herzschuhetal22,Pollen
220,-0.85,12,DS7,Herzschuhetal22,Pollen
230,0.55,12,DS7,Herzschuhetal22,Pollen
250,0.35,12,DS7,Herzschuhetal22,Pollen
290,-0.05,12,DS7,Herzschuhetal22,Pollen
310,-1.05,12,DS7,Herzschuhetal22,Pollen
430,-0.95,12,DS7,Herzschuhetal22,Pollen
540,0.05,12,DS7,Herzschuhetal22,Pollen
650,-0.45,12,DS7,Herzschuhetal22,Pollen
740,-0.25,12,DS7,Herzschuhetal22,Pollen
830,1.25,12,DS7,Herzschuhetal22,Pollen
890,0.65,12,DS7,Herzschuhetal22,Pollen
970,1.25,12,DS7,Herzschuhetal22,Pollen
1070,0.45,12,DS7,Herzschuhetal22,Pollen
1140,0.05,12,DS7,Herzschuhetal22,Pollen
1220,2.05,12,DS7,Herzschuhetal22,Pollen
1300,0.95,12,DS7,Herzschuhetal22,Pollen
1360,-0.35,12,DS7,Herzschuhetal22,Pollen
1460,1.45,12,DS7,Herzschuhetal22,Pollen
1500,-0.25,12,DS7,Herzschuhetal22,Pollen
1520,1.25,12,DS7,Herzschuhetal22,Pollen
1540,0.05,12,DS7,Herzschuhetal22,Pollen
1560,0.65,12,DS7,Herzschuhetal22,Pollen
1590,2.15,12,DS7,Herzschuhetal22,Pollen
1620,-0.25,12,DS7,Herzschuhetal22,Pollen
1640,-1.25,12,DS7,Herzschuhetal22,Pollen
1680,0.35,12,DS7,Herzschuhetal22,Pollen
1710,0.65,12,DS7,Herzschuhetal22,Pollen
1740,1.05,12,DS7,Herzschuhetal22,Pollen
1780,-0.65,12,DS7,Herzschuhetal22,Pollen
1840,-0.85,12,DS7,Herzschuhetal22,Pollen
1860,0.05,12,DS7,Herzschuhetal22,Pollen
1920,0.65,12,DS7,Herzschuhetal22,Pollen
1990,-0.25,12,DS7,Herzschuhetal22,Pollen
2030,1.25,12,DS7,Herzschuhetal22,Pollen
2090,-0.15,12,DS7,Herzschuhetal22,Pollen
2130,0.45,12,DS7,Herzschuhetal22,Pollen
2190,1.75,12,DS7,Herzschuhetal22,Pollen
2200,0.05,12,DS7,Herzschuhetal22,Pollen
2230,0.25,12,DS7,Herzschuhetal22,Pollen
2260,0.15,12,DS7,Herzschuhetal22,Pollen
2300,0.35,12,DS7,Herzschuhetal22,Pollen
2320,0.05,12,DS7,Herzschuhetal22,Pollen
2360,0.85,12,DS7,Herzschuhetal22,Pollen
2370,-0.15,12,DS7,Herzschuhetal22,Pollen
2390,0.15,12,DS7,Herzschuhetal22,Pollen
2410,1.05,12,DS7,Herzschuhetal22,Pollen
2430,-0.55,12,DS7,Herzschuhetal22,Pollen
2440,-0.55,12,DS7,Herzschuhetal22,Pollen
2480,0.45,12,DS7,Herzschuhetal22,Pollen
2520,0.85,12,DS7,Herzschuhetal22,Pollen
2550,0.95,12,DS7,Herzschuhetal22,Pollen
2910,-0.75,12,DS7,Herzschuhetal22,Pollen
10,0,13,SOGUT,Herzschuhetal22,Pollen
130,-0.9,13,SOGUT,Herzschuhetal22,Pollen
280,-1.2,13,SOGUT,Herzschuhetal22,Pollen
410,-2,13,SOGUT,Herzschuhetal22,Pollen
560,-0.5,13,SOGUT,Herzschuhetal22,Pollen
710,-0.8,13,SOGUT,Herzschuhetal22,Pollen
860,-0.9,13,SOGUT,Herzschuhetal22,Pollen
1010,-0.7,13,SOGUT,Herzschuhetal22,Pollen
1180,-0.3,13,SOGUT,Herzschuhetal22,Pollen
1340,-1.3,13,SOGUT,Herzschuhetal22,Pollen
1480,-0.6,13,SOGUT,Herzschuhetal22,Pollen
1630,0.1,13,SOGUT,Herzschuhetal22,Pollen
1800,-0.2,13,SOGUT,Herzschuhetal22,Pollen
1930,0,13,SOGUT,Herzschuhetal22,Pollen
2080,0.4,13,SOGUT,Herzschuhetal22,Pollen
2250,-0.1,13,SOGUT,Herzschuhetal22,Pollen
2400,0.3,13,SOGUT,Herzschuhetal22,Pollen
2480,-0.8,13,SOGUT,Herzschuhetal22,Pollen
2550,-1.1,13,SOGUT,Herzschuhetal22,Pollen
2630,-1,13,SOGUT,Herzschuhetal22,Pollen
2700,-0.1,13,SOGUT,Herzschuhetal22,Pollen
2780,0.4,13,SOGUT,Herzschuhetal22,Pollen
2860,-0.4,13,SOGUT,Herzschuhetal22,Pollen
2960,-0.9,13,SOGUT,Herzschuhetal22,Pollen
3480,0.1,13,SOGUT,Herzschuhetal22,Pollen
4460,1.1,13,SOGUT,Herzschuhetal22,Pollen
4980,0.6,13,SOGUT,Herzschuhetal22,Pollen
5580,1.3,13,SOGUT,Herzschuhetal22,Pollen
6210,1.2,13,SOGUT,Herzschuhetal22,Pollen
6890,0.4,13,SOGUT,Herzschuhetal22,Pollen
7840,-0.3,13,SOGUT,Herzschuhetal22,Pollen
8760,1.2,13,SOGUT,Herzschuhetal22,Pollen
9350,1.4,13,SOGUT,Herzschuhetal22,Pollen
10330,2,13,SOGUT,Herzschuhetal22,Pollen
10,0,14,PINARBAS,Herzschuhetal22,Pollen
200,0.7,14,PINARBAS,Herzschuhetal22,Pollen
460,0.9,14,PINARBAS,Herzschuhetal22,Pollen
720,-0.6,14,PINARBAS,Herzschuhetal22,Pollen
980,-1.5,14,PINARBAS,Herzschuhetal22,Pollen
1240,-1,14,PINARBAS,Herzschuhetal22,Pollen
1370,0.1,14,PINARBAS,Herzschuhetal22,Pollen
1560,0.5,14,PINARBAS,Herzschuhetal22,Pollen
1760,-1.1,14,PINARBAS,Herzschuhetal22,Pollen
2020,-1.6,14,PINARBAS,Herzschuhetal22,Pollen
2150,-0.7,14,PINARBAS,Herzschuhetal22,Pollen
2280,-0.5,14,PINARBAS,Herzschuhetal22,Pollen
2400,-1.3,14,PINARBAS,Herzschuhetal22,Pollen
2540,-1.3,14,PINARBAS,Herzschuhetal22,Pollen
2660,1,14,PINARBAS,Herzschuhetal22,Pollen
2790,1.3,14,PINARBAS,Herzschuhetal22,Pollen
2920,1,14,PINARBAS,Herzschuhetal22,Pollen
3050,1.7,14,PINARBAS,Herzschuhetal22,Pollen
3180,2.2,14,PINARBAS,Herzschuhetal22,Pollen
3310,1.4,14,PINARBAS,Herzschuhetal22,Pollen
3570,-0.8,14,PINARBAS,Herzschuhetal22,Pollen
3640,-0.8,14,PINARBAS,Herzschuhetal22,Pollen
3710,-1.1,14,PINARBAS,Herzschuhetal22,Pollen
3790,-1.4,14,PINARBAS,Herzschuhetal22,Pollen
3860,-2.3,14,PINARBAS,Herzschuhetal22,Pollen
4150,-0.1,14,PINARBAS,Herzschuhetal22,Pollen
4440,-0.7,14,PINARBAS,Herzschuhetal22,Pollen
4730,-1.2,14,PINARBAS,Herzschuhetal22,Pollen
5020,-1.3,14,PINARBAS,Herzschuhetal22,Pollen
5170,-0.8,14,PINARBAS,Herzschuhetal22,Pollen
5310,-0.1,14,PINARBAS,Herzschuhetal22,Pollen
5460,-0.5,14,PINARBAS,Herzschuhetal22,Pollen
5610,-0.9,14,PINARBAS,Herzschuhetal22,Pollen
5890,-0.2,14,PINARBAS,Herzschuhetal22,Pollen
6190,-1,14,PINARBAS,Herzschuhetal22,Pollen
6480,1.1,14,PINARBAS,Herzschuhetal22,Pollen
6770,-1,14,PINARBAS,Herzschuhetal22,Pollen
7050,-2,14,PINARBAS,Herzschuhetal22,Pollen
7320,0,14,PINARBAS,Herzschuhetal22,Pollen
-40,0.1,15,ASIG1,Herzschuhetal22,Pollen
-20,0.4,15,ASIG1,Herzschuhetal22,Pollen
-10,0.1,15,ASIG1,Herzschuhetal22,Pollen
10,0.8,15,ASIG1,Herzschuhetal22,Pollen
20,1.2,15,ASIG1,Herzschuhetal22,Pollen
40,-2.5,15,ASIG1,Herzschuhetal22,Pollen
50,-0.1,15,ASIG1,Herzschuhetal22,Pollen
70,-4.3,15,ASIG1,Herzschuhetal22,Pollen
80,-1.9,15,ASIG1,Herzschuhetal22,Pollen
100,0.5,15,ASIG1,Herzschuhetal22,Pollen
110,-2.4,15,ASIG1,Herzschuhetal22,Pollen
130,1.7,15,ASIG1,Herzschuhetal22,Pollen
140,-0.5,15,ASIG1,Herzschuhetal22,Pollen
160,-0.2,15,ASIG1,Herzschuhetal22,Pollen
170,-0.4,15,ASIG1,Herzschuhetal22,Pollen
190,-1.2,15,ASIG1,Herzschuhetal22,Pollen
200,1.1,15,ASIG1,Herzschuhetal22,Pollen
220,1.4,15,ASIG1,Herzschuhetal22,Pollen
240,0.2,15,ASIG1,Herzschuhetal22,Pollen
250,2,15,ASIG1,Herzschuhetal22,Pollen
270,-0.6,15,ASIG1,Herzschuhetal22,Pollen
280,1.2,15,ASIG1,Herzschuhetal22,Pollen
300,0,15,ASIG1,Herzschuhetal22,Pollen
310,-0.8,15,ASIG1,Herzschuhetal22,Pollen
330,0.6,15,ASIG1,Herzschuhetal22,Pollen
340,-1.7,15,ASIG1,Herzschuhetal22,Pollen
360,-1.3,15,ASIG1,Herzschuhetal22,Pollen
370,-1.3,15,ASIG1,Herzschuhetal22,Pollen
390,-2.3,15,ASIG1,Herzschuhetal22,Pollen
410,-0.3,15,ASIG1,Herzschuhetal22,Pollen
420,-0.6,15,ASIG1,Herzschuhetal22,Pollen
440,0.3,15,ASIG1,Herzschuhetal22,Pollen
450,0.1,15,ASIG1,Herzschuhetal22,Pollen
470,-0.1,15,ASIG1,Herzschuhetal22,Pollen
500,-4.4,15,ASIG1,Herzschuhetal2222,Pollen
510,-1.1,15,ASIG1,Herzschuhetal22,Pollen
530,-1,15,ASIG1,Herzschuhetal22,Pollen
540,-2.7,15,ASIG1,Herzschuhetal22,Pollen
560,0,15,ASIG1,Herzschuhetal22,Pollen
580,-2.7,15,ASIG1,Herzschuhetal22,Pollen
590,-2.7,15,ASIG1,Herzschuhetal22,Pollen
610,-5.5,15,ASIG1,Herzschuhetal22,Pollen
620,-0.3,15,ASIG1,Herzschuhetal22,Pollen
640,-0.1,15,ASIG1,Herzschuhetal22,Pollen
650,-3.6,15,ASIG1,Herzschuhetal22,Pollen
670,0.2,15,ASIG1,Herzschuhetal22,Pollen
680,-0.3,15,ASIG1,Herzschuhetal22,Pollen
700,-0.5,15,ASIG1,Herzschuhetal22,Pollen
710,0.3,15,ASIG1,Herzschuhetal22,Pollen
730,-0.9,15,ASIG1,Herzschuhetal22,Pollen
740,1,15,ASIG1,Herzschuhetal22,Pollen
760,1,15,ASIG1,Herzschuhetal22,Pollen
770,0.8,15,ASIG1,Herzschuhetal22,Pollen
790,2.6,15,ASIG1,Herzschuhetal22,Pollen
800,0.5,15,ASIG1,Herzschuhetal22,Pollen
820,1,15,ASIG1,Herzschuhetal22,Pollen
830,-0.7,15,ASIG1,Herzschuhetal22,Pollen
850,-1.5,15,ASIG1,Herzschuhetal22,Pollen
860,-0.9,15,ASIG1,Herzschuhetal22,Pollen
880,-1.8,15,ASIG1,Herzschuhetal22,Pollen
890,1.3,15,ASIG1,Herzschuhetal22,Pollen
910,4.3,15,ASIG1,Herzschuhetal22,Pollen
920,4.5,15,ASIG1,Herzschuhetal22,Pollen
940,2.4,15,ASIG1,Herzschuhetal22,Pollen
950,4.2,15,ASIG1,Herzschuhetal22,Pollen
970,2.2,15,ASIG1,Herzschuhetal22,Pollen
980,3.9,15,ASIG1,Herzschuhetal22,Pollen
1000,4.9,15,ASIG1,Herzschuhetal22,Pollen
1030,4.8,15,ASIG1,Herzschuhetal22,Pollen
1040,4.9,15,ASIG1,Herzschuhetal22,Pollen
1060,4.8,15,ASIG1,Herzschuhetal22,Pollen
1070,3.5,15,ASIG1,Herzschuhetal22,Pollen
1090,0.3,15,ASIG1,Herzschuhetal22,Pollen
1120,3,15,ASIG1,Herzschuhetal22,Pollen
1130,1.7,15,ASIG1,Herzschuhetal22,Pollen
1150,4.7,15,ASIG1,Herzschuhetal22,Pollen
1160,4.7,15,ASIG1,Herzschuhetal22,Pollen
1180,2.6,15,ASIG1,Herzschuhetal22,Pollen
1190,4.3,15,ASIG1,Herzschuhetal22,Pollen
1200,0.7,15,ASIG1,Herzschuhetal22,Pollen
1220,5.4,15,ASIG1,Herzschuhetal22,Pollen
1230,5,15,ASIG1,Herzschuhetal22,Pollen
1250,3.2,15,ASIG1,Herzschuhetal22,Pollen
1260,3.9,15,ASIG1,Herzschuhetal22,Pollen
1270,4.5,15,ASIG1,Herzschuhetal22,Pollen
1290,3.2,15,ASIG1,Herzschuhetal22,Pollen
1300,4.8,15,ASIG1,Herzschuhetal22,Pollen
1320,3.3,15,ASIG1,Herzschuhetal22,Pollen
1330,3.6,15,ASIG1,Herzschuhetal22,Pollen
1340,3.2,15,ASIG1,Herzschuhetal22,Pollen
1360,4,15,ASIG1,Herzschuhetal22,Pollen
1370,3.2,15,ASIG1,Herzschuhetal22,Pollen
10,0,16,SAR26,Herzschuhetal22,Pollen
90,0,16,SAR26,Herzschuhetal22,Pollen
210,-1.4,16,SAR26,Herzschuhetal22,Pollen
320,0.9,16,SAR26,Herzschuhetal22,Pollen
420,1.8,16,SAR26,Herzschuhetal22,Pollen
560,1.3,16,SAR26,Herzschuhetal22,Pollen
720,-0.2,16,SAR26,Herzschuhetal22,Pollen
800,-0.4,16,SAR26,Herzschuhetal22,Pollen
920,0.1,16,SAR26,Herzschuhetal22,Pollen
990,0,16,SAR26,Herzschuhetal22,Pollen
1060,-0.8,16,SAR26,Herzschuhetal22,Pollen
1140,0.3,16,SAR26,Herzschuhetal22,Pollen
1220,1,16,SAR26,Herzschuhetal22,Pollen
1240,0.8,16,SAR26,Herzschuhetal22,Pollen
1270,2.6,16,SAR26,Herzschuhetal22,Pollen
1300,0.1,16,SAR26,Herzschuhetal22,Pollen
1330,1.7,16,SAR26,Herzschuhetal22,Pollen
1350,1.5,16,SAR26,Herzschuhetal22,Pollen
1370,1.5,16,SAR26,Herzschuhetal22,Pollen
1390,-1.9,16,SAR26,Herzschuhetal22,Pollen
1410,-2.5,16,SAR26,Herzschuhetal22,Pollen
1430,0.6,16,SAR26,Herzschuhetal22,Pollen
1450,0.1,16,SAR26,Herzschuhetal22,Pollen
1470,-0.1,16,SAR26,Herzschuhetal22,Pollen
1480,-1,16,SAR26,Herzschuhetal22,Pollen
1510,1.1,16,SAR26,Herzschuhetal22,Pollen
1520,0.4,16,SAR26,Herzschuhetal22,Pollen
1540,1.1,16,SAR26,Herzschuhetal22,Pollen
1560,-0.4,16,SAR26,Herzschuhetal22,Pollen
1590,-1.1,16,SAR26,Herzschuhetal22,Pollen
1610,1.2,16,SAR26,Herzschuhetal22,Pollen
1650,1,16,SAR26,Herzschuhetal22,Pollen
1670,2.4,16,SAR26,Herzschuhetal22,Pollen
1740,-0.2,16,SAR26,Herzschuhetal22,Pollen
1770,-1,16,SAR26,Herzschuhetal22,Pollen
1830,0.9,16,SAR26,Herzschuhetal22,Pollen
1850,6.1,16,SAR26,Herzschuhetal22,Pollen
1930,0,16,SAR26,Herzschuhetal22,Pollen
-10,0,17,LERNA,Herzschuhetal22,Pollen
120,-1.4,17,LERNA,Herzschuhetal22,Pollen
300,-0.6,17,LERNA,Herzschuhetal22,Pollen
430,-2,17,LERNA,Herzschuhetal22,Pollen
540,0.2,17,LERNA,Herzschuhetal22,Pollen
900,-0.7,17,LERNA,Herzschuhetal22,Pollen
1060,-1.5,17,LERNA,Herzschuhetal22,Pollen
1270,-0.6,17,LERNA,Herzschuhetal22,Pollen
1440,1.9,17,LERNA,Herzschuhetal22,Pollen
1520,1.7,17,LERNA,Herzschuhetal22,Pollen
1700,1.2,17,LERNA,Herzschuhetal22,Pollen
1840,-0.7,17,LERNA,Herzschuhetal22,Pollen
2000,-1.2,17,LERNA,Herzschuhetal22,Pollen
2110,0.1,17,LERNA,Herzschuhetal22,Pollen
2230,0.3,17,LERNA,Herzschuhetal22,Pollen
2370,2,17,LERNA,Herzschuhetal22,Pollen
2510,-2.1,17,LERNA,Herzschuhetal22,Pollen
2640,-0.1,17,LERNA,Herzschuhetal22,Pollen
2710,1.5,17,LERNA,Herzschuhetal22,Pollen
2800,1.4,17,LERNA,Herzschuhetal22,Pollen
2890,1.2,17,LERNA,Herzschuhetal22,Pollen
3000,-1.2,17,LERNA,Herzschuhetal22,Pollen
3100,-1.7,17,LERNA,Herzschuhetal22,Pollen
3150,-2.7,17,LERNA,Herzschuhetal22,Pollen
3350,3.1,17,LERNA,Herzschuhetal22,Pollen
3440,0.5,17,LERNA,Herzschuhetal22,Pollen
3530,1.8,17,LERNA,Herzschuhetal22,Pollen
3700,0.4,17,LERNA,Herzschuhetal22,Pollen
3880,0.4,17,LERNA,Herzschuhetal22,Pollen
4020,0.9,17,LERNA,Herzschuhetal22,Pollen
4160,0,17,LERNA,Herzschuhetal22,Pollen
4400,0.6,17,LERNA,Herzschuhetal22,Pollen
4590,1.5,17,LERNA,Herzschuhetal22,Pollen
4730,1.6,17,LERNA,Herzschuhetal22,Pollen
4850,0.5,17,LERNA,Herzschuhetal22,Pollen
4960,0.1,17,LERNA,Herzschuhetal22,Pollen
5090,0.9,17,LERNA,Herzschuhetal22,Pollen
5230,1,17,LERNA,Herzschuhetal22,Pollen
5370,2.3,17,LERNA,Herzschuhetal22,Pollen
5450,1.2,17,LERNA,Herzschuhetal22,Pollen
5590,3.5,17,LERNA,Herzschuhetal22,Pollen
5700,1.7,17,LERNA,Herzschuhetal22,Pollen
5840,1.4,17,LERNA,Herzschuhetal22,Pollen
5910,1.2,17,LERNA,Herzschuhetal22,Pollen
6040,1.6,17,LERNA,Herzschuhetal22,Pollen
6140,1.9,17,LERNA,Herzschuhetal22,Pollen
6250,1.7,17,LERNA,Herzschuhetal22,Pollen
6340,1.1,17,LERNA,Herzschuhetal22,Pollen
6480,0.2,17,LERNA,Herzschuhetal22,Pollen
6560,-0.3,17,LERNA,Herzschuhetal22,Pollen
6710,0.1,17,LERNA,Herzschuhetal22,Pollen
6840,-1.3,17,LERNA,Herzschuhetal22,Pollen
6970,1.8,17,LERNA,Herzschuhetal22,Pollen
7110,1.7,17,LERNA,Herzschuhetal22,Pollen
7190,1.1,17,LERNA,Herzschuhetal22,Pollen
7310,0.1,17,LERNA,Herzschuhetal22,Pollen
7370,0,17,LERNA,Herzschuhetal22,Pollen
7500,-3.1,17,LERNA,Herzschuhetal22,Pollen
7660,-3.4,17,LERNA,Herzschuhetal22,Pollen
-60,0.2,18,LITOCHOR,Herzschuhetal22,Pollen
-10,0.1,18,LITOCHOR,Herzschuhetal22,Pollen
30,-0.3,18,LITOCHOR,Herzschuhetal22,Pollen
70,0.8,18,LITOCHOR,Herzschuhetal22,Pollen
120,1.2,18,LITOCHOR,Herzschuhetal22,Pollen
160,0.2,18,LITOCHOR,Herzschuhetal22,Pollen
210,-1,18,LITOCHOR,Herzschuhetal22,Pollen
260,1.1,18,LITOCHOR,Herzschuhetal22,Pollen
310,1.6,18,LITOCHOR,Herzschuhetal22,Pollen
350,-0.3,18,LITOCHOR,Herzschuhetal22,Pollen
410,0.2,18,LITOCHOR,Herzschuhetal22,Pollen
450,-0.5,18,LITOCHOR,Herzschuhetal22,Pollen
500,1.2,18,LITOCHOR,Herzschuhetal22,Pollen
580,-0.3,18,LITOCHOR,Herzschuhetal22,Pollen
640,0.8,18,LITOCHOR,Herzschuhetal22,Pollen
690,-0.4,18,LITOCHOR,Herzschuhetal22,Pollen
730,0,18,LITOCHOR,Herzschuhetal22,Pollen
780,-0.3,18,LITOCHOR,Herzschuhetal22,Pollen
850,0.3,18,LITOCHOR,Herzschuhetal22,Pollen
910,-0.4,18,LITOCHOR,Herzschuhetal22,Pollen
980,-1.4,18,LITOCHOR,Herzschuhetal22,Pollen
1020,-0.5,18,LITOCHOR,Herzschuhetal22,Pollen
1090,-0.4,18,LITOCHOR,Herzschuhetal22,Pollen
1190,-0.5,18,LITOCHOR,Herzschuhetal22,Pollen
1280,-1.4,18,LITOCHOR,Herzschuhetal22,Pollen
1360,-1,18,LITOCHOR,Herzschuhetal22,Pollen
1470,0.5,18,LITOCHOR,Herzschuhetal22,Pollen
1540,-0.8,18,LITOCHOR,Herzschuhetal22,Pollen
1620,-0.8,18,LITOCHOR,Herzschuhetal22,Pollen
1720,-0.5,18,LITOCHOR,Herzschuhetal22,Pollen
1820,-0.4,18,LITOCHOR,Herzschuhetal22,Pollen
1930,-0.7,18,LITOCHOR,Herzschuhetal22,Pollen
2040,-1.5,18,LITOCHOR,Herzschuhetal22,Pollen
2150,-1.3,18,LITOCHOR,Herzschuhetal22,Pollen
2220,-0.9,18,LITOCHOR,Herzschuhetal22,Pollen
2290,0.5,18,LITOCHOR,Herzschuhetal22,Pollen
2360,0.1,18,LITOCHOR,Herzschuhetal22,Pollen
2400,-0.8,18,LITOCHOR,Herzschuhetal22,Pollen
2430,-0.2,18,LITOCHOR,Herzschuhetal22,Pollen
2500,0.1,18,LITOCHOR,Herzschuhetal22,Pollen
2610,-0.8,18,LITOCHOR,Herzschuhetal22,Pollen
2660,-0.3,18,LITOCHOR,Herzschuhetal22,Pollen
2710,-0.5,18,LITOCHOR,Herzschuhetal22,Pollen
2790,-1.6,18,LITOCHOR,Herzschuhetal22,Pollen
2850,-0.8,18,LITOCHOR,Herzschuhetal22,Pollen
2940,-0.9,18,LITOCHOR,Herzschuhetal22,Pollen
3020,-0.5,18,LITOCHOR,Herzschuhetal22,Pollen
3110,-0.6,18,LITOCHOR,Herzschuhetal22,Pollen
3230,-0.6,18,LITOCHOR,Herzschuhetal22,Pollen
3510,1,18,LITOCHOR,Herzschuhetal22,Pollen
3520,-0.2,18,LITOCHOR,Herzschuhetal22,Pollen
3570,1,18,LITOCHOR,Herzschuhetal22,Pollen
3730,0.4,18,LITOCHOR,Herzschuhetal22,Pollen
3840,1.2,18,LITOCHOR,Herzschuhetal22,Pollen
