YearBP,Minimum,5thPercentile,Median,95thPercentile,Maximum,AreaMean
10050,-1.28340386285,-1.27896630181,-1.20830332438,-1.0695138465,-1.05305396186,-1.18961136014
9900,-1.09791327582,-1.09355066088,-1.04732284546,-1.00155704922,-0.997275967068,-1.04806002114
9750,-1.41210513645,-1.40194054498,-1.33228912354,-1.18470244514,-1.16078457303,-1.31051985734
9600,-1.28869679769,-1.28505722046,-1.23491558499,-1.14134140862,-1.13003726535,-1.22305252933
9450,-1.24283481174,-1.23728307936,-1.17705391778,-1.07569582621,-1.06288604736,-1.16595124476
9300,-1.25009206136,-1.24764742533,-1.1736940172,-1.03970045302,-1.02666049533,-1.15747351909
9150,-0.954927741157,-0.953190324571,-0.868994140625,-0.740779605442,-0.73127424452,-0.857606164787
9000,-1.0888929579,-1.0882989841,-1.02471143934,-0.839142473009,-0.817022365994,-0.990476692066
8850,-1.40497097439,-1.40293072171,-1.35546722412,-1.24212766012,-1.22846221924,-1.33713129448
8700,-1.20136803521,-1.20091446771,-1.13482225206,-0.973628735012,-0.956392584907,-1.10840847398
8550,-1.38149210612,-1.37650154114,-1.27571758694,-1.14423760308,-1.13383009169,-1.26833297535
8400,-1.48326873779,-1.48189412435,-1.41522937351,-1.26741367764,-1.25171830919,-1.39282354681
8250,-1.50966389974,-1.50668340047,-1.45272496541,-1.35318140666,-1.3421564738,-1.44032905104
8100,-1.35762600369,-1.35757287767,-1.32902738783,-1.21104487101,-1.19520874023,-1.30363867366
7950,-1.03071543376,-1.02774693807,-0.996172332764,-0.89012963189,-0.874019707574,-0.975049352934
7800,-1.01442057292,-1.0138999939,-0.984328375922,-0.895439605713,-0.884451293945,-0.967649043056
7650,-0.927709960938,-0.926518656413,-0.918187120226,-0.896390881009,-0.89282345242,-0.914386174689
7500,-0.694669596354,-0.694464492798,-0.673632982042,-0.651674524943,-0.651270548503,-0.673647848768
7350,-0.915798441569,-0.91307975769,-0.885180070665,-0.827747472127,-0.819817097982,-0.87700027014
7200,-0.900884670681,-0.897552329169,-0.862254163954,-0.775808198717,-0.763449774848,-0.847923384504
7050,-0.64255472819,-0.64199373881,-0.590650261773,-0.407512859768,-0.383694118924,-0.553374089821
6900,-0.898296610514,-0.894594828288,-0.867707570394,-0.861539840698,-0.861494445801,-0.874005075254
6750,-0.726716783312,-0.726593314277,-0.722119649251,-0.672728814019,-0.664678785536,-0.709199988826
6600,-0.564275275336,-0.557162390815,-0.502279747857,-0.483906275431,-0.48323618571,-0.51280055355
6450,-0.569967990451,-0.566208351983,-0.524022505018,-0.50195034451,-0.501740180122,-0.530398690615
6300,-0.641261291504,-0.640409393311,-0.625836605496,-0.604960411919,-0.602996148003,-0.624224416211
6150,-0.676338195801,-0.675065205892,-0.65118560791,-0.605121019151,-0.59993303087,-0.645119946553
6000,-0.46018371582,-0.458288675944,-0.426710425483,-0.39316347758,-0.390921020508,-0.426595776354
5850,-0.374850633409,-0.371053204007,-0.349529096815,-0.339828703139,-0.338117811415,-0.352852948678
5700,-0.528788079156,-0.527116936578,-0.517094506158,-0.504443927341,-0.502308993869,-0.516436983373
5550,-0.563163757324,-0.561505126953,-0.551053365072,-0.53341984219,-0.530493842231,-0.548813147288
5400,-0.670253499349,-0.669116160075,-0.659243774414,-0.618471442329,-0.611881171332,-0.650307720159
5250,-0.702709621853,-0.700217200385,-0.66520775689,-0.632515182495,-0.63043162028,-0.666366575277
5100,-0.722718132867,-0.715998797947,-0.677581193712,-0.668125822279,-0.666517469618,-0.685861395835
4950,-0.525582038032,-0.516907696194,-0.458102077908,-0.436276872423,-0.434128485786,-0.468515071011
4800,-0.390467834473,-0.382475128174,-0.325450134277,-0.287755872938,-0.283174472385,-0.330588313529
4650,-0.405128479004,-0.402521286011,-0.387613847521,-0.373036999173,-0.370488145616,-0.38756496667
4500,-0.455097452799,-0.454551035563,-0.442308213976,-0.409493721856,-0.40531700982,-0.436542662987
4350,-0.603048197428,-0.595822041829,-0.540594991048,-0.506033571031,-0.50245429145,-0.546371589654
4200,-0.364947340224,-0.364708082411,-0.351809607612,-0.302527482775,-0.295867580838,-0.34130105667
4050,-0.691669718424,-0.691624832153,-0.686789279514,-0.67491232978,-0.673624844021,-0.684683605351
3900,-0.496787177192,-0.493209855821,-0.449728308784,-0.417294582791,-0.415666876899,-0.452832420462
3750,-0.260655890571,-0.253925823636,-0.213243696425,-0.207546047635,-0.206989712185,-0.22377919023
3600,-0.48527408176,-0.480741026137,-0.439869350857,-0.413111021254,-0.411068556044,-0.443582609715
3450,-0.276797993978,-0.273201014201,-0.249923621284,-0.243675223456,-0.24308336046,-0.254766795527
3300,-0.50165286594,-0.499526045058,-0.469414520264,-0.449642367893,-0.449340142144,-0.47208535576
3150,-0.818511284722,-0.808298272027,-0.741397009956,-0.701356845432,-0.695884026421,-0.748708467076
3000,-0.152220323351,-0.151500439114,-0.13798421224,-0.119481752184,-0.117881944444,-0.136582404593
2850,-0.637751430935,-0.63453253852,-0.600667402479,-0.583274417453,-0.582962375217,-0.605593269083
2700,-0.515144517687,-0.514340913561,-0.50612004598,-0.492184465196,-0.49037238227,-0.504304857716
2550,-0.404107835558,-0.40081290351,-0.376082611084,-0.364412214491,-0.363421969944,-0.379702731271
2400,-0.322956169976,-0.320093188816,-0.274622514513,-0.230999628703,-0.228462727865,-0.274525608431
2250,-0.572622850206,-0.569880006578,-0.553949398465,-0.542609295315,-0.540676540799,-0.55516907337
2100,-0.668039449056,-0.667796503703,-0.658815765381,-0.626447431776,-0.622077263726,-0.651808330923
